,행정동코드,행정동명,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
0,11560535,영등포동,2390,1.26,1896.8253968253969,202,650,0.237089202
1,11200790,용답동,742,2.31,321.2121212121212,5,19,0.208333333
2,11110615,종로1.2.3.4가동,4912,2.35,2090.2127659574467,356,1981,0.15233205
3,11710561,방이1동,590,0.5,1180.0,62,252,0.197452229
4,11650621,방배4동,1037,0.98,1058.1632653061224,35,243,0.125899281
5,11590630,사당2동,797,2.75,289.8181818181818,85,347,0.196759259
6,11650530,서초3동,2054,2.93,701.0238907849829,162,621,0.206896552
7,11680545,압구정동,2384,2.53,942.2924901185771,175,1382,0.112395633
8,11440600,대흥동,704,0.87,809.1954022988506,22,103,0.176
9,11260620,묵1동,623,1.2,519.1666666666667,19,54,0.260273973
10,11380625,역촌동,1024,1.16,882.7586206896552,36,224,0.138461538
11,11290525,성북동,601,2.86,210.13986013986016,17,119,0.125
12,11740560,고덕2동,424,2.01,210.94527363184082,13,75,0.147727273
13,11440660,서교동,3961,1.65,2400.6060606060605,350,2579,0.119494708
14,11710562,방이2동,1134,0.8,1417.5,122,517,0.190923318
15,11440565,공덕동,741,1.01,733.6633663366337,112,374,0.230452675
16,11470510,목1동,1575,1.41,1117.0212765957447,64,199,0.243346008
17,11710641,문정1동,648,0.56,1157.142857142857,21,149,0.123529412
18,11680640,역삼1동,5445,2.35,2317.0212765957444,426,1803,0.191117093
19,11200560,행당1동,563,0.59,954.2372881355933,88,199,0.306620209
20,11410585,신촌동,2198,2.63,835.7414448669202,250,1071,0.189250568
21,11140650,신당5동,398,0.39,1020.5128205128204,7,70,0.090909091
22,11110650,혜화동,767,1.12,684.8214285714286,163,669,0.195913462
23,11650590,방배본동,880,0.67,1313.4328358208954,41,221,0.15648855
24,11470550,목5동,785,1.81,433.70165745856355,157,242,0.393483709
25,11650540,잠원동,946,1.76,537.5,76,463,0.141001855
26,11215770,중곡4동,847,2.32,365.08620689655174,22,127,0.147651007
27,11410640,홍제3동,502,0.81,619.753086419753,25,111,0.183823529
28,11650581,반포4동,2225,1.43,1555.9440559440561,98,372,0.208510638
29,11440590,용강동,704,0.84,838.0952380952381,48,157,0.234146341
30,11140540,회현동,2421,0.84,2882.1428571428573,127,347,0.267932489
31,11680580,삼성1동,1628,1.94,839.1752577319588,102,207,0.330097087
