,상권_코드,개업률_평균,폐업률_평균
0,2110001,2.3667,5.3
1,2110002,1.2778,2.3361
2,2110003,2.8797,2.3474
3,2110004,5.1282,1.359
4,2110005,0.4231,2.5449
5,2110006,3.925,3.8833
6,2110007,10.2493,5.5637
7,2110008,3.2407,4.5648
8,2110009,3.6169,4.5104
9,2110010,2.3796,2.1018
10,2110011,4.9888,0.0
11,2110012,2.8866,4.1111
12,2110013,5.3958,3.2986
13,2110014,4.2292,3.3333
14,2110015,0.8333,1.375
15,2110016,2.6694,4.4983
16,2110017,0.0,1.7544
17,2110018,2.0555,2.7361
18,2110019,3.7169,1.6535
19,2110020,2.1458,3.1979
20,2110021,5.1342,5.458
21,2110022,3.9348,1.022
22,2110023,5.081,5.8831
23,2110024,3.6239,0.7292
24,2110025,0.6945,3.0555
25,2110026,0.0,0.0
26,2110027,3.4042,3.4889
27,2110028,2.6852,2.3241
28,2110029,7.5752,6.5606
29,2110030,1.3125,2.375
30,2110031,2.1333,3.7167
31,2110032,3.3333,10.4722
32,2110033,3.2639,1.9444
33,2110034,0.0,2.7917
34,2110035,4.289,2.7171
35,2110036,2.7709,1.3854
36,2110037,5.1627,4.9583
37,2110038,3.1019,4.0185
38,2110039,7.3796,3.787
39,2110040,3.0958,1.9558
40,2110041,1.3809,0.6191
41,2110042,2.4583,1.3565
42,2110043,1.4107,2.3348
43,2110044,0.0,0.6944
44,2110045,4.2841,4.1742
45,2110046,17.7778,0.0
46,2110047,5.5,3.3333
47,2110048,7.5239,7.5616
48,2110049,7.5775,3.1917
49,2110050,7.4542,1.4558
50,2110051,5.0224,3.8889
51,2110052,1.5104,1.0938
52,2110053,5.209,3.0687
53,2110054,5.8426,4.9167
54,2110055,0.0,0.0
55,2110056,7.4677,4.1196
56,2110057,2.373,1.8234
57,2110058,1.7037,2.1945
58,2110059,2.0208,2.3958
59,2110060,4.5694,5.0159
60,2110061,4.1199,4.5197
61,2110062,4.5463,5.1481
62,2110063,5.3576,3.1551
63,2110064,2.4167,3.5105
64,2110065,0.0,2.7778
65,2110066,3.8333,3.3704
66,2110067,2.3048,3.5179
67,2110068,2.4444,4.4167
68,2110069,4.5463,4.1296
69,2110070,1.3889,0.0
70,2110071,1.9402,2.7323
71,2110072,3.5714,5.4583
72,2110073,13.1746,2.1746
73,2110074,2.8889,4.4259
74,2110075,4.8212,3.3572
75,2110076,3.7146,4.3069
76,2110077,2.1562,5.0625
77,2110078,1.7326,3.9179
78,2110079,3.0185,3.5833
79,2110080,3.213,5.2222
80,2110081,5.9867,4.4476
81,2110082,3.8796,5.8333
82,2110083,2.25,0.0
83,2110084,3.1389,4.6574
84,2110085,2.463,5.5741
85,2110086,2.3586,2.4221
86,2110087,2.0032,2.9278
87,2110088,2.9444,1.6852
88,2110089,3.8144,4.62
89,2110090,3.3415,2.5317
90,2110091,6.2718,4.4802
91,2110092,2.0278,1.8889
92,2110093,5.8341,2.8341
93,2110094,4.9571,4.4103
94,2110095,2.963,1.3982
95,2110096,1.3889,1.5
96,2110097,4.1667,0.0
97,2110098,5.2024,5.0357
98,2110099,4.2708,0.0
99,2110100,6.6924,4.7316
100,2110101,3.328,1.7857
101,2110102,3.5209,6.4792
102,2110103,3.4226,1.7544
103,2110104,3.4137,5.1607
104,2110105,5.5764,3.8044
105,2110106,4.9378,4.1667
106,2110107,3.9888,1.7715
107,2110108,3.5714,3.1667
108,2110109,3.5126,4.6746
109,2110110,5.6518,5.1202
110,2110111,7.197,0.0
111,2110112,4.1667,4.1111
112,2110113,1.7457,2.377
113,2110114,3.7589,1.5873
114,2110115,3.2523,5.7489
115,2110116,3.2222,0.6944
116,2110117,6.9653,5.322
117,2110118,5.0857,3.1167
118,2110119,3.125,0.0
119,2110120,9.627,4.4961
120,2110121,3.7533,4.8695
121,2110122,3.0714,2.4166
122,2110123,2.2126,3.4934
123,2110124,6.5,2.9524
124,2110125,2.8426,3.8982
125,2110126,9.3282,5.7405
126,2110127,5.1609,3.8598
127,2110128,6.3704,4.3333
128,2110129,4.75,1.9524
129,2110130,2.7917,7.3125
130,2110131,6.1389,2.6204
131,2110132,7.1638,4.5143
132,2110133,3.3208,0.5042
133,2110134,6.9526,4.5104
134,2110135,2.5416,5.0521
135,2110136,4.287,3.8241
136,2110137,7.7601,6.5143
137,2110138,2.3691,2.6071
138,2110139,5.4259,3.0926
139,2110140,5.0648,3.463
140,2110141,4.7981,3.0197
141,2110142,4.4259,4.4815
142,2110143,4.2831,3.6155
143,2110144,3.1232,3.7596
144,2110145,3.4506,0.9167
145,2110146,3.0859,2.2895
146,2110147,5.4303,4.966
147,2110148,2.5625,4.1339
148,2110149,2.7941,3.3016
149,2110150,4.8678,5.1595
150,2110151,5.3796,4.2098
151,2110152,3.5167,4.8667
152,2110153,8.0241,4.442
153,2110154,4.0741,3.463
154,2110155,6.3873,5.2046
155,2110156,6.5596,5.0119
156,2110157,3.1759,5.9815
157,2110158,4.0185,5.2778
158,2110159,6.4908,7.0278
159,2110160,5.7639,2.5556
160,2110161,6.7635,4.3873
161,2110162,4.4717,3.8333
162,2110163,3.75,3.3704
163,2110164,8.0014,2.8519
164,2110165,4.1465,4.1642
165,2110166,5.4463,3.6193
166,2110167,5.4377,4.0547
167,2110168,4.3485,2.6945
168,2110169,1.2083,2.5104
169,2110170,9.2,5.8722
170,2110171,3.125,6.25
171,2110172,6.1411,2.8667
172,2110173,2.8009,5.0031
173,2110174,5.54,4.8281
174,2110175,6.2799,3.7805
175,2110176,6.5425,5.1182
176,2110177,5.5044,2.1086
