,상권_코드,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
0,2110001,2,2,1.0
1,2110002,6,3,0.5
2,2110003,11,10,0.9091
3,2110004,1,1,1.0
4,2110005,2,2,1.0
5,2110006,5,5,1.0
6,2110007,6,5,0.8333
7,2110008,43,41,0.9535
8,2110009,11,9,0.8182
9,2110010,13,9,0.6923
10,2110011,1,1,1.0
11,2110012,30,21,0.7
12,2110013,5,5,1.0
13,2110014,3,3,1.0
14,2110015,6,5,0.8333
15,2110016,9,9,1.0
16,2110017,2,1,0.5
17,2110018,20,18,0.9
18,2110019,17,16,0.9412
19,2110020,10,8,0.8
20,2110021,20,18,0.9
21,2110022,8,7,0.875
22,2110023,11,4,0.3636
23,2110024,15,13,0.8667
24,2110026,2,2,1.0
25,2110027,13,12,0.9231
26,2110028,16,14,0.875
27,2110029,8,8,1.0
28,2110031,4,3,0.75
29,2110032,1,1,1.0
30,2110033,3,2,0.6667
31,2110035,9,4,0.4444
32,2110036,4,4,1.0
33,2110037,1,1,1.0
34,2110038,14,7,0.5
35,2110039,3,2,0.6667
36,2110040,4,4,1.0
37,2110041,12,12,1.0
38,2110042,10,9,0.9
39,2110043,10,8,0.8
40,2110045,5,5,1.0
41,2110047,5,5,1.0
42,2110048,5,5,1.0
43,2110049,15,14,0.9333
44,2110050,3,3,1.0
45,2110051,5,5,1.0
46,2110052,6,4,0.6667
47,2110053,4,2,0.5
48,2110054,11,9,0.8182
49,2110055,1,1,1.0
50,2110056,11,10,0.9091
51,2110057,3,2,0.6667
52,2110058,13,11,0.8462
53,2110059,6,6,1.0
54,2110060,9,9,1.0
55,2110061,8,7,0.875
56,2110062,20,20,1.0
57,2110063,9,8,0.8889
58,2110064,13,12,0.9231
59,2110065,2,2,1.0
60,2110066,15,15,1.0
61,2110067,8,7,0.875
62,2110068,20,19,0.95
63,2110069,63,47,0.746
64,2110071,4,2,0.5
65,2110072,6,5,0.8333
66,2110073,1,1,1.0
67,2110074,18,13,0.7222
68,2110075,12,11,0.9167
69,2110076,4,3,0.75
70,2110077,4,3,0.75
71,2110078,5,2,0.4
72,2110079,29,26,0.8966
73,2110080,14,13,0.9286
74,2110081,26,23,0.8846
75,2110082,16,16,1.0
76,2110083,3,3,1.0
77,2110084,27,20,0.7407
78,2110085,34,30,0.8824
79,2110086,3,3,1.0
80,2110087,7,7,1.0
81,2110088,8,6,0.75
82,2110089,3,3,1.0
83,2110090,9,7,0.7778
84,2110091,8,8,1.0
85,2110092,5,5,1.0
86,2110093,16,15,0.9375
87,2110094,3,3,1.0
88,2110095,26,25,0.9615
89,2110096,4,4,1.0
90,2110097,1,1,1.0
91,2110098,9,7,0.7778
92,2110099,1,0,0.0
93,2110100,1,1,1.0
94,2110101,4,3,0.75
95,2110102,14,10,0.7143
96,2110103,2,1,0.5
97,2110104,1,1,1.0
98,2110105,9,8,0.8889
99,2110106,3,2,0.6667
100,2110107,3,1,0.3333
101,2110109,9,9,1.0
102,2110110,5,4,0.8
103,2110111,1,1,1.0
104,2110112,7,5,0.7143
105,2110113,3,2,0.6667
106,2110114,2,2,1.0
107,2110115,17,16,0.9412
108,2110116,3,2,0.6667
109,2110117,2,1,0.5
110,2110118,12,8,0.6667
111,2110119,1,1,1.0
112,2110120,23,23,1.0
113,2110121,8,6,0.75
114,2110122,8,3,0.375
115,2110123,3,3,1.0
116,2110124,12,11,0.9167
117,2110125,10,10,1.0
118,2110126,6,6,1.0
119,2110127,8,8,1.0
120,2110128,31,29,0.9355
121,2110129,11,10,0.9091
122,2110131,48,41,0.8542
123,2110132,10,9,0.9
124,2110133,3,3,1.0
125,2110134,12,12,1.0
126,2110135,7,6,0.8571
127,2110136,29,26,0.8966
128,2110137,41,31,0.7561
129,2110138,5,4,0.8
130,2110139,18,17,0.9444
131,2110140,17,16,0.9412
132,2110141,7,7,1.0
133,2110142,16,15,0.9375
134,2110143,6,6,1.0
135,2110144,8,7,0.875
136,2110145,7,6,0.8571
137,2110146,11,11,1.0
138,2110147,9,9,1.0
139,2110148,13,10,0.7692
140,2110149,3,2,0.6667
141,2110150,7,5,0.7143
142,2110151,12,9,0.75
143,2110152,2,2,1.0
144,2110153,1,1,1.0
145,2110154,11,9,0.8182
146,2110155,13,11,0.8462
147,2110156,7,6,0.8571
148,2110157,18,14,0.7778
149,2110158,12,9,0.75
150,2110159,15,12,0.8
151,2110160,7,5,0.7143
152,2110161,18,14,0.7778
153,2110162,12,11,0.9167
154,2110163,10,8,0.8
155,2110164,3,3,1.0
156,2110165,13,11,0.8462
157,2110166,18,17,0.9444
158,2110167,13,9,0.6923
159,2110168,8,7,0.875
160,2110169,5,4,0.8
161,2110170,7,7,1.0
162,2110172,8,8,1.0
163,2110173,6,5,0.8333
164,2110174,12,12,1.0
165,2110175,11,11,1.0
166,2110176,10,10,1.0
167,2110177,2,1,0.5
168,2110178,8,8,1.0
169,2110179,6,5,0.8333
170,2110180,16,14,0.875
171,2110182,3,3,1.0
172,2110183,2,1,0.5
173,2110184,2,2,1.0
174,2110185,1,0,0.0
175,2110186,2,2,1.0
176,2110187,10,7,0.7
177,2110188,9,6,0.6667
