,행정동코드,1월_2030여성비율,2월_2030여성비율,3월_2030여성비율,4월_2030여성비율,5월_2030여성비율,6월_2030여성비율,7월_2030여성비율,8월_2030여성비율,9월_2030여성비율,10월_2030여성비율,11월_2030여성비율,12월_2030여성비율,2021년_2030여성_비율평균
0,11110515,3.4465,3.6533,3.621,3.6967,3.7355,3.7048,3.679,3.7237,3.6882,3.7586,3.8431,3.6111,3.6801
1,11110530,4.7087,4.8757,4.9527,5.0412,5.0127,5.1105,5.0673,5.0759,5.05,5.1411,5.3391,5.2118,5.0489
2,11110540,3.8731,4.2173,4.1856,4.2898,4.278,4.1702,3.9121,4.0139,4.1048,4.2726,4.3422,4.1706,4.1525
3,11110550,3.1429,3.1293,3.2198,3.2131,3.2098,3.1634,3.1212,3.0656,3.0786,3.1171,3.1549,3.1687,3.1487
4,11110560,2.8621,2.8304,2.8414,2.8637,2.8778,2.8574,2.9224,2.8973,2.8742,2.8656,2.7935,2.8345,2.86
5,11110570,2.958,3.0184,2.9935,3.0239,3.0015,2.9447,2.9442,2.9811,2.9419,3.022,2.9867,3.0147,2.9859
6,11110580,3.7442,3.791,3.7681,3.789,3.7685,3.7287,3.7868,3.7722,3.6869,3.7194,3.7117,3.7097,3.748
7,11110600,3.7012,3.9481,3.8757,3.8747,3.8914,3.7681,3.7074,3.7925,3.8159,3.9296,4.0078,3.8515,3.847
8,11110615,4.5319,4.7811,4.7714,4.8343,4.8494,4.9035,4.7658,4.7555,4.6676,4.7527,4.9577,4.8916,4.7885
9,11110630,3.7644,3.8456,3.705,3.7207,3.71,3.8603,3.8625,3.8546,3.7944,3.801,3.9037,3.9854,3.8173
10,11110640,5.6727,5.7473,5.9039,5.8905,5.8723,5.934,5.8455,5.8724,5.9357,6.0268,6.1366,6.0257,5.9053
11,11110650,5.4749,5.5009,5.4868,5.6412,5.7634,5.7496,5.7122,5.6964,5.6772,5.9079,6.0968,6.0843,5.7326
