,행정동코드,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,행정동명
0,11110515,0,0,0,8,청운효자동
1,11110530,0,0,2,30,사직동
2,11110540,0,0,0,7,삼청동
3,11110550,0,0,0,27,부암동
4,11110560,0,0,0,52,평창동
5,11110570,0,0,1,5,무악동
6,11110580,0,0,1,26,교남동
7,11110600,0,0,0,19,가회동
8,11110615,0,0,4,53,종로1.2.3.4가동
9,11110630,0,0,0,10,종로5.6가동
10,11110640,0,0,0,16,이화동
11,11110650,0,0,1,27,혜화동
12,11110670,0,0,2,8,창신1동
13,11110680,0,0,0,0,창신2동
14,11110690,0,0,1,4,창신3동
15,11110700,0,0,0,4,숭인1동
16,11110710,0,0,0,3,숭인2동
17,11140520,0,0,2,26,소공동
18,11140540,0,0,6,30,회현동
19,11140550,0,0,1,32,명동
20,11140570,0,0,2,8,필동
21,11140580,0,0,1,8,장충동
22,11140590,0,0,3,15,광희동
23,11140605,0,0,4,14,을지로동
24,11140615,0,0,2,3,신당동
25,11140625,0,0,2,7,다산동
26,11140635,0,0,0,5,약수동
27,11140645,0,0,0,0,청구동
28,11140650,0,0,0,4,신당5동
29,11140665,0,0,0,0,동화동
30,11140670,0,0,0,3,황학동
31,11140680,0,0,0,7,중림동
32,11170510,0,0,0,9,후암동
33,11170520,0,0,0,11,용산2가동
34,11170530,0,0,2,18,남영동
35,11170555,0,0,0,13,청파동
36,11170560,0,0,0,7,원효로1동
37,11170570,0,0,0,23,원효로2동
38,11170580,0,0,0,11,효창동
39,11170590,0,0,0,9,용문동
40,11170625,0,0,5,22,한강로동
41,11170630,0,0,0,2,이촌1동
42,11170640,0,0,0,2,이촌2동
43,11170650,0,0,1,16,이태원1동
44,11170660,0,0,0,19,이태원2동
45,11170685,0,0,0,26,한남동
46,11170690,0,0,0,5,서빙고동
47,11170700,0,0,0,4,보광동
48,11200520,0,0,1,2,왕십리2동
49,11200535,0,0,0,3,왕십리도선동
50,11200540,0,0,1,16,마장동
51,11200550,0,0,0,9,사근동
52,11200560,0,0,4,20,행당1동
53,11200580,0,0,0,8,응봉동
54,11200590,0,0,0,14,금호1가동
55,11200615,0,0,0,6,금호2.3가동
56,11200620,0,0,0,16,금호4가동
57,11200645,0,0,0,12,옥수동
58,11200650,0,0,0,14,성수1가1동
59,11200660,0,0,1,10,성수1가2동
60,11200670,0,0,0,26,성수2가1동
61,11200690,0,0,1,17,성수2가3동
62,11200720,0,0,0,15,송정동
63,11200790,0,0,0,0,용답동
64,11215710,0,0,2,21,화양동
65,11215730,0,0,2,18,군자동
66,11215740,0,0,0,10,중곡1동
67,11215750,0,0,0,10,중곡2동
68,11215760,0,0,1,14,중곡3동
69,11215770,0,0,0,20,중곡4동
70,11215780,0,0,1,18,능동
71,11215810,0,0,1,9,광장동
72,11215820,0,0,0,9,자양1동
73,11215830,0,0,0,12,자양2동
74,11215840,0,0,0,2,자양3동
75,11215847,0,0,0,9,자양4동
76,11215850,0,0,1,20,구의1동
77,11215860,0,0,0,1,구의2동
78,11215870,0,1,1,11,구의3동
79,11230536,0,0,3,33,용신동
80,11230545,0,0,0,15,제기동
81,11230560,0,0,3,33,전농1동
82,11230570,0,0,0,2,전농2동
83,11230600,0,0,0,7,답십리1동
84,11230610,0,0,0,9,답십리2동
85,11230650,0,0,1,31,장안1동
86,11230660,0,0,0,28,장안2동
87,11230705,0,0,0,2,청량리동
88,11230710,0,0,0,7,회기동
89,11230720,0,0,3,12,휘경1동
