행정동,행정동코드,문화시설수
방배4동,11650621,0
사당2동,11590630,8
종로1.2.3.4가동,11110615,59
양평2동,11560620,0
서초3동,11650530,26
거여2동,11710532,1
영등포동,11560535,2
용답동,11200790,2
방이1동,11710561,0
성북동,11290525,9
서교동,11440660,36
고덕2동,11740560,0
연남동,11440710,1
서림동,11620665,1
방이2동,11710562,3
공덕동,11440565,2
목1동,11470510,9
문정1동,11710641,0
역삼1동,11680640,12
행당1동,11200560,2
압구정동,11680545,11
대흥동,11440600,8
묵1동,11260620,0
역촌동,11380625,0
신촌동,11410585,13
신당5동,11140650,3
혜화동,11110650,53
장안1동,11230650,0
대조동,11380570,0
목5동,11470550,0
수유1동,11305610,0
중곡4동,11215770,0
홍은2동,11410685,3
개포2동,11680670,2
대치4동,11680630,1
이촌2동,11170640,2
합정동,11440680,4
성내1동,11740640,8
길음2동,11290685,0
이태원1동,11170650,4
청운효자동,11110515,10
가락2동,11710632,0
홍제3동,11410640,0
반포4동,11650581,5
용강동,11440590,1
회현동,11140540,10
삼성1동,11680580,6
오금동,11710570,1
방화2동,11500640,0
아현동,11440555,0
방배본동,11650590,2
중화2동,11260610,0
일원2동,11680740,0
동선동,11290575,2
숭인2동,11110710,0
남현동,11620630,1
한강로동,11170625,9
도곡1동,11680655,0
서원동,11620645,0
여의동,11560540,7
구의3동,11215870,1
면목본동,11260565,0
발산1동,11500611,0
송중동,11305545,0
명동,11140550,52
보문동,11290610,0
구로4동,11530550,2
평창동,11110560,7
소공동,11140520,49
당산1동,11560550,2
이문1동,11230740,1
신당동,11140615,20
창3동,11320513,0
상계2동,11350640,2
문정2동,11710642,1
진관동,11380690,3
삼양동,11305534,0
내곡동,11650660,2
중곡3동,11215760,2
능동,11215780,7
독산3동,11545630,2
명일1동,11740530,0
흑석동,11590605,4
논현2동,11680531,4
공릉2동,11350600,2
망우3동,11260660,0
성내2동,11740650,7
상봉1동,11260580,1
갈현2동,11380552,0
다산동,11140625,12
도곡2동,11680656,2
쌍문2동,11320670,1
광장동,11215810,6
상계3.4동,11350665,0
목2동,11470520,0
신원동,11620655,0
우장산동,11500615,4
가산동,11545510,1
잠원동,11650540,0
삼청동,11110540,17
제기동,11230545,3
화곡4동,11500570,0
장지동,11710646,0
서초2동,11650520,4
은천동,11620605,1
월계1동,11350560,1
한남동,11170685,23
화곡2동,11500550,0
상도4동,11590560,5
청구동,11140645,5
대치1동,11680600,0
방화1동,11500630,0
서초1동,11650510,2
천호3동,11740620,0
화곡6동,11500591,2
성수2가3동,11200690,2
영등포본동,11560515,1
종로5.6가동,11110630,8
시흥5동,11545710,0
안암동,11290600,1
청담동,11680565,11
청량리동,11230705,3
송천동,11305555,1
우이동,11305645,3
길음1동,11290660,1
대치2동,11680610,11
자양3동,11215840,4
대방동,11590660,6
자양2동,11215830,0
쌍문1동,11320660,3
천호2동,11740610,1
신정3동,11470640,0
독산1동,11545610,4
신정2동,11470630,0
낙성대동,11620585,0
천호1동,11740600,1
청룡동,11620595,0
염창동,11500510,1
번1동,11305590,0
상도3동,11590550,1
개봉1동,11530740,0
광희동,11140590,40
창2동,11320512,0
양재1동,11650651,7
잠실6동,11710710,3
왕십리2동,11200520,0
수서동,11680750,0
신내2동,11260690,1
신월4동,11470590,0
고척2동,11530730,0
정릉1동,11290620,0
휘경1동,11230720,0
상도2동,11590540,5
인수동,11305660,3
구로3동,11530540,2
원효로2동,11170570,1
석촌동,11710600,0
군자동,11215730,4
화양동,11215710,4
월계3동,11350580,0
잠실3동,11710680,12
암사1동,11740570,0
답십리1동,11230600,0
신도림동,11530510,0
신내1동,11260680,0
마천1동,11710540,0
대학동,11620735,5
보라매동,11620525,0
삼전동,11710610,0
노량진2동,11590520,3
삼선동,11290555,3
정릉2동,11290630,0
황학동,11140670,4
둔촌1동,11740690,0
가리봉동,11530595,2
