,행정동코드,1월_외국인_총생활인구수,2월_외국인_총생활인구수,3월_외국인_총생활인구수,4월_외국인_총생활인구수,5월_외국인_총생활인구수,6월_외국인_총생활인구수,7월_외국인_총생활인구수,8월_외국인_총생활인구수,9월_외국인_총생활인구수,10월_외국인_총생활인구수,11월_외국인_총생활인구수,12월_외국인_총생활인구수,2021년_외국인_평균
0,11110515,133.5057,153.6764,88.6195,33.9746,60.4322,91.7095,170.8472,162.3644,147.0677,86.4885,130.4913,163.2061,118.5319
1,11110530,173.1118,103.6464,173.404,178.4712,133.2385,153.3415,405.3911,368.3092,202.3244,321.4031,368.0959,251.0198,235.9797
2,11110540,79.1698,101.3165,46.9073,31.7085,40.9539,96.4326,110.0849,76.3283,106.7277,87.1721,43.5726,47.2468,72.3017
3,11110550,73.7316,88.3074,280.5183,243.5525,227.0147,389.2789,97.7123,119.2809,229.7091,219.0819,65.6827,70.123,175.3328
4,11110560,106.7163,79.3454,93.9804,111.6123,216.0127,303.646,256.6897,245.0089,195.7125,162.4073,114.5386,113.2496,166.5766
5,11110570,75.999,40.4599,21.3338,41.5488,0.5176,24.4698,53.5503,13.9112,82.5095,29.428,8.1436,25.2511,34.7602
6,11110580,23.3429,15.1708,19.9494,37.6954,2.753,17.339,44.2042,35.3776,92.6342,35.066,29.6949,21.3745,31.2168
7,11110600,81.1345,134.4568,102.91,41.9423,95.1098,124.2409,101.2423,78.6777,80.4167,57.2799,37.3797,56.9445,82.6446
8,11110615,545.1903,1443.8312,1412.1516,319.6159,418.1512,596.8417,622.5267,1929.1619,1700.9499,837.7837,913.218,644.7979,948.685
9,11110630,112.1141,111.8283,184.9182,66.7871,150.4509,81.96,183.1408,157.251,195.5872,229.4443,233.113,107.2267,151.1518
10,11110640,151.9415,151.8675,242.8093,142.6556,99.8895,127.744,116.8876,102.6662,162.8866,115.574,151.1298,238.2373,150.3574
11,11110650,321.2649,835.2395,1294.6946,835.568,852.3966,1087.1293,687.4112,1838.147,1873.0274,1278.1879,1080.4113,746.0374,1060.7929
12,11110670,90.5055,38.1245,84.5462,60.1278,71.6446,108.3244,60.4434,92.3494,121.6623,99.8358,65.6568,156.7483,87.4974
13,11110680,120.9693,43.8503,194.3728,181.6959,64.4493,94.4174,53.3574,133.1445,65.4555,64.6617,105.9853,85.6658,100.6688
14,11110690,47.3813,9.6176,33.2779,25.5609,5.2306,14.0887,23.7547,10.9063,36.4591,45.4367,28.8266,48.1371,27.3898
15,11110700,56.5952,80.7015,52.8611,67.416,81.4674,65.0792,35.1521,53.7027,71.9402,58.4174,37.9686,49.0739,59.1979
16,11110710,36.6457,159.9974,418.5549,386.8552,657.6145,235.9335,62.445,382.2146,512.4696,198.9729,164.7353,237.9569,287.8663
17,11140520,1619.4537,2664.6298,2660.1596,3070.57,2186.9339,2167.5121,2218.2239,1640.0503,1597.2712,2068.1002,1805.7851,1876.8371,2131.2939
18,11140540,848.5232,1055.1435,1590.1666,1787.4407,1400.1008,1160.453,1153.9508,879.4285,1001.5851,1042.3771,934.7129,960.7289,1151.2176
19,11140550,741.9467,1246.1604,1192.4699,983.5781,1016.2594,1305.5491,1229.4461,2181.9953,1143.088,1485.336,1649.6572,1954.2104,1344.1414
20,11140570,314.0603,293.5561,374.5253,472.346,494.5566,301.4817,729.0614,1259.2339,1139.7151,1292.5766,1528.5958,1874.9229,839.5526
21,11140580,159.3232,233.7909,314.2158,526.4467,205.7161,328.3185,420.5215,509.5828,690.839,747.4032,464.612,484.4351,423.7671
22,11140590,1483.8897,1465.1848,1778.5845,1708.6827,1470.5111,1681.9374,2138.5289,2937.0357,2403.6451,2111.3898,2119.1746,2537.6769,1986.3534
23,11140605,222.3345,485.297,460.3812,230.0863,254.2481,252.9437,609.496,1629.812,1245.9592,1185.8379,1396.2835,1999.341,831.0017
24,11140615,363.0033,337.952,310.5379,241.1975,269.0395,328.4899,399.0818,422.63,499.3837,421.6222,523.8719,287.7676,367.0481
25,11140625,77.3707,215.8379,90.863,102.115,89.0449,115.8647,90.668,68.3044,100.8779,58.0075,105.9832,49.7476,97.0571
26,11140635,59.4042,70.3922,105.7104,74.2968,117.9057,149.2343,83.3127,103.4262,125.0568,84.8819,93.2019,115.9821,98.5671
27,11140645,52.8038,63.3507,71.0867,79.2192,63.5192,70.9531,95.9106,68.7653,72.7419,51.5372,54.2217,44.3631,65.706
