,행정동_코드,행정동명,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료,개업률_평균,폐업률_평균,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율,2021년_2030여성_비율평균,2021년_외국인_평균,문화시설수,지하철_역_수,버스_정거장_수,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
0,11110515,청운효자동,A,2110008,546856034,39025,14013,141341,4.188,10.0864,0.0991,3.2407,4.5648,481,2.57,187.15953307393,8,119,0.062992126,0.0368,118.5319,10,0,8,43,41,0.9535
1,11110515,청운효자동,A,2110011,41876155,2660,15744,141341,4.188,8.9775,0.1114,4.9888,0.0,481,2.57,187.15953307393,8,119,0.062992126,0.0368,118.5319,10,0,8,1,1,1.0
2,11110515,청운효자동,A,2110014,118812168,4828,24607,141341,4.188,5.7439,0.1741,4.2292,3.3333,481,2.57,187.15953307393,8,119,0.062992126,0.0368,118.5319,10,0,8,3,3,1.0
3,11110515,청운효자동,A,2110015,479770071,13575,35343,141341,4.188,3.9991,0.2501,0.8333,1.375,481,2.57,187.15953307393,8,119,0.062992126,0.0368,118.5319,10,0,8,6,5,0.8333
4,11110530,사직동,A,2110007,56345703,7114,7920,138422,0.83,17.4775,0.0572,10.2493,5.5637,1081,1.23,878.8617886178862,139,885,0.135742188,0.0505,235.9797,21,2,30,6,5,0.8333
5,11110530,사직동,A,2110012,521881093,28873,18075,138422,0.83,7.6582,0.1306,2.8866,4.1111,1081,1.23,878.8617886178862,139,885,0.135742188,0.0505,235.9797,21,2,30,30,21,0.7
6,11110530,사직동,D,2120002,1642288241,71414,22997,138422,0.83,6.0191,0.1661,3.1019,3.4166,1081,1.23,878.8617886178862,139,885,0.135742188,0.0505,235.9797,21,2,30,74,68,0.9189
7,11110530,사직동,D,2120003,-2147483648,262790,16788,138422,0.83,8.2453,0.1213,3.3241,3.4722,1081,1.23,878.8617886178862,139,885,0.135742188,0.0505,235.9797,21,2,30,156,114,0.7308
8,11110540,삼청동,D,2120005,1096132708,52122,21030,176422,-0.366,8.3891,0.1192,4.2963,4.0,444,1.49,297.9865771812081,22,161,0.120218579,0.0415,72.3017,17,0,7,69,57,0.8261
9,11110550,부암동,A,2110003,156210342,15288,10218,87651,-2.048,8.5781,0.1166,2.8797,2.3474,390,2.27,171.8061674008811,11,89,0.11,0.0315,175.3328,8,0,27,11,10,0.9091
10,11110550,부암동,A,2110005,239428181,22494,10644,87651,-2.048,8.2348,0.1214,0.4231,2.5449,390,2.27,171.8061674008811,11,89,0.11,0.0315,175.3328,8,0,27,2,2,1.0
11,11110550,부암동,A,2110006,153305957,11147,13753,87651,-2.048,6.3732,0.1569,3.925,3.8833,390,2.27,171.8061674008811,11,89,0.11,0.0315,175.3328,8,0,27,5,5,1.0
12,11110550,부암동,A,2110009,300699466,9869,30468,87651,-2.048,2.8768,0.3476,3.6169,4.5104,390,2.27,171.8061674008811,11,89,0.11,0.0315,175.3328,8,0,27,11,9,0.8182
13,11110560,평창동,A,2110001,238421368,18772,12701,89817,0.443,7.0716,0.1414,2.3667,5.3,536,8.87,60.42841037204059,15,71,0.174418605,0.0286,166.5766,7,0,52,2,2,1.0
14,11110560,평창동,A,2110010,296829579,23347,12714,89817,0.443,7.0644,0.1416,2.3796,2.1018,536,8.87,60.42841037204059,15,71,0.174418605,0.0286,166.5766,7,0,52,13,9,0.6923
15,11110560,평창동,A,2110016,321002767,7519,42693,89817,0.443,2.1038,0.4753,2.6694,4.4983,536,8.87,60.42841037204059,15,71,0.174418605,0.0286,166.5766,7,0,52,9,9,1.0
16,11110570,무악동,A,2110002,745381733,100919,7386,105741,0.082,14.3164,0.0698,1.2778,2.3361,122,0.36,338.8888888888889,5,20,0.2,0.0299,34.7602,0,1,5,6,3,0.5
17,11110570,무악동,A,2110004,436286415,11284,38664,105741,0.082,2.7349,0.3656,5.1282,1.359,122,0.36,338.8888888888889,5,20,0.2,0.0299,34.7602,0,1,5,1,1,1.0
18,11110580,교남동,D,2120001,1247979731,77134,16179,191982,-0.391,11.8661,0.0843,2.1759,3.037,174,0.35,497.1428571428572,47,203,0.188,0.0375,31.2168,2,1,26,46,27,0.587
19,11110600,가회동,A,2110017,178511274,676,264148,165483,3.562,0.6265,1.5962,0.0,1.7544,435,0.54,805.5555555555555,48,244,0.164383562,0.0385,82.6446,11,0,19,2,1,0.5
20,11110600,가회동,A,2110018,408191650,31452,12978,165483,3.562,12.751,0.0784,2.0555,2.7361,435,0.54,805.5555555555555,48,244,0.164383562,0.0385,82.6446,11,0,19,20,18,0.9
21,11110600,가회동,D,2120007,-2147483648,128605,16908,165483,3.562,9.7873,0.1022,3.537,4.0463,435,0.54,805.5555555555555,48,244,0.164383562,0.0385,82.6446,11,0,19,74,52,0.7027
22,11110615,종로1.2.3.4가동,A,2110019,161481671,8838,18271,189227,-3.76,10.3567,0.0966,3.7169,1.6535,4912,2.35,2090.2127659574467,356,1981,0.15233205,0.0479,948.685,59,4,53,17,16,0.9412
23,11110615,종로1.2.3.4가동,D,2120004,1373328825,85999,15969,189227,-3.76,11.8496,0.0844,2.7963,3.6204,4912,2.35,2090.2127659574467,356,1981,0.15233205,0.0479,948.685,59,4,53,40,22,0.55
24,11110615,종로1.2.3.4가동,D,2120006,-2147483648,336960,17188,189227,-3.76,11.0093,0.0908,3.2871,3.8148,4912,2.35,2090.2127659574467,356,1981,0.15233205,0.0479,948.685,59,4,53,169,100,0.5917
25,11110615,종로1.2.3.4가동,D,2120008,1873494974,102504,18277,189227,-3.76,10.3533,0.0966,3.1482,2.3889,4912,2.35,2090.2127659574467,356,1981,0.15233205,0.0479,948.685,59,4,53,54,51,0.9444
26,11110615,종로1.2.3.4가동,D,2120009,-2147483648,281469,16296,189227,-3.76,11.6119,0.0861,3.5463,3.3796,4912,2.35,2090.2127659574467,356,1981,0.15233205,0.0479,948.685,59,4,53,152,121,0.7961
