,행정동_코드,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료
0,11110515,A,2110008,546856034,39025,14013,141341,4.188,10.0864,0.0991
1,11110515,A,2110011,41876155,2660,15744,141341,4.188,8.9775,0.1114
2,11110515,A,2110014,118812168,4828,24607,141341,4.188,5.7439,0.1741
3,11110515,A,2110015,479770071,13575,35343,141341,4.188,3.9991,0.2501
4,11110530,A,2110007,56345703,7114,7920,138422,0.83,17.4775,0.0572
5,11110530,A,2110012,521881093,28873,18075,138422,0.83,7.6582,0.1306
6,11110530,D,2120002,1642288241,71414,22997,138422,0.83,6.0191,0.1661
7,11110530,D,2120003,-2147483648,262790,16788,138422,0.83,8.2453,0.1213
8,11110540,D,2120005,1096132708,52122,21030,176422,-0.366,8.3891,0.1192
9,11110550,A,2110003,156210342,15288,10218,87651,-2.048,8.5781,0.1166
10,11110550,A,2110005,239428181,22494,10644,87651,-2.048,8.2348,0.1214
11,11110550,A,2110006,153305957,11147,13753,87651,-2.048,6.3732,0.1569
12,11110550,A,2110009,300699466,9869,30468,87651,-2.048,2.8768,0.3476
13,11110560,A,2110001,238421368,18772,12701,89817,0.443,7.0716,0.1414
14,11110560,A,2110010,296829579,23347,12714,89817,0.443,7.0644,0.1416
15,11110560,A,2110016,321002767,7519,42693,89817,0.443,2.1038,0.4753
16,11110570,A,2110002,745381733,100919,7386,105741,0.082,14.3164,0.0698
17,11110570,A,2110004,436286415,11284,38664,105741,0.082,2.7349,0.3656
18,11110580,D,2120001,1247979731,77134,16179,191982,-0.391,11.8661,0.0843
19,11110600,A,2110017,178511274,676,264148,165483,3.562,0.6265,1.5962
20,11110600,A,2110018,408191650,31452,12978,165483,3.562,12.751,0.0784
21,11110600,D,2120007,-2147483648,128605,16908,165483,3.562,9.7873,0.1022
22,11110615,A,2110019,161481671,8838,18271,189227,-3.76,10.3567,0.0966
23,11110615,D,2120004,1373328825,85999,15969,189227,-3.76,11.8496,0.0844
24,11110615,D,2120006,-2147483648,336960,17188,189227,-3.76,11.0093,0.0908
25,11110615,D,2120008,1873494974,102504,18277,189227,-3.76,10.3533,0.0966
26,11110615,D,2120009,-2147483648,281469,16296,189227,-3.76,11.6119,0.0861
27,11110615,D,2120010,414523200,33637,12324,189227,-3.76,15.3543,0.0651
28,11110615,D,2120011,571809271,55818,10244,189227,-3.76,18.472,0.0541
29,11110630,A,2110025,460050744,24450,18816,245416,-2.317,13.0429,0.0767
30,11110630,A,2110026,122197391,16447,7430,245416,-2.317,33.0304,0.0303
31,11110630,D,2120014,1049034128,73702,14233,245416,-2.317,17.2427,0.058
32,11110630,D,2120015,350532362,29682,11810,245416,-2.317,20.7804,0.0481
33,11110640,A,2110023,370151543,47932,7722,118103,-4.572,15.2944,0.0654
34,11110640,A,2110027,87577695,6683,13104,118103,-4.572,9.0127,0.111
35,11110640,A,2110028,507040180,71508,7091,118103,-4.572,16.6553,0.06
36,11110640,D,2120013,548678361,40169,13659,118103,-4.572,8.6465,0.1157
37,11110650,A,2110020,195699722,24750,7907,125751,-3.9,15.9038,0.0629
38,11110650,A,2110021,183830865,18604,9881,125751,-3.9,12.7265,0.0786
39,11110650,A,2110022,231633318,28270,8194,125751,-3.9,15.3467,0.0652
40,11110650,A,2110024,326803116,16135,20255,125751,-3.9,6.2084,0.1611
41,11110650,D,2120012,-2147483648,208642,15926,125751,-3.9,7.896,0.1266
42,11110670,A,2110030,203392523,11002,18487,177247,3.301,9.5877,0.1043
43,11110670,A,2110032,61556194,2008,30650,177247,3.301,5.7829,0.1729
44,11110670,A,2110034,18576258,1186,15663,177247,3.301,11.3163,0.0884
45,11110670,D,2120016,487798473,34685,14064,177247,3.301,12.6029,0.0793
46,11110670,D,2120017,583427604,58608,9955,177247,3.301,17.8048,0.0562
47,11110680,A,2110029,203759620,16951,12020,103760,12.833,8.6323,0.1158
48,11110690,A,2110031,100538912,8323,12080,90330,-7.498,7.4776,0.1337
49,11110700,A,2110033,400299900,43369,9230,86529,1.529,9.3748,0.1067
50,11110710,A,2110035,169109794,16908,10002,128484,19.421,12.8458,0.0778
51,11110710,A,2110036,267861681,28571,9375,128484,19.421,13.705,0.073
52,11110710,A,2110037,352220052,39099,9008,128484,19.421,14.2633,0.0701
53,11140520,A,2110038,580563188,45810,12673,148930,-0.14,11.7518,0.0851
54,11140520,D,2120019,1017972896,87145,11681,148930,-0.14,12.7498,0.0784
55,11140520,D,2120020,1045288897,81370,12846,148930,-0.14,11.5935,0.0863
56,11140520,D,2120021,2077993358,146301,14204,148930,-0.14,10.4851,0.0954
57,11140520,D,2120022,-2147483648,124214,23642,148930,-0.14,6.2994,0.1587
58,11140520,D,2120025,432180606,39592,10916,148930,-0.14,13.6433,0.0733
59,11140540,A,2110039,38307020,2569,14910,312666,0.811,20.9702,0.0477
60,11140540,A,2110040,174257043,14724,11835,312666,0.811,26.4188,0.0379
61,11140540,D,2120024,663238472,49570,13380,312666,0.811,23.3682,0.0428
