행정동_코드,프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
11110515,8,119,0.062992126
11110530,139,885,0.135742188
11110540,22,161,0.120218579
11110550,11,89,0.11
11110560,15,71,0.174418605
11110570,5,20,0.2
11110580,47,203,0.188
11110600,48,244,0.164383562
11110615,356,1981,0.15233205
11110630,43,238,0.153024911
11110640,43,164,0.207729469
11110650,163,669,0.195913462
11110670,31,139,0.182352941
11110680,5,42,0.106382979
11110690,3,9,0.25
11110700,3,15,0.166666667
11110710,15,92,0.140186916
11140520,186,571,0.245706737
11140540,127,347,0.267932489
11140550,379,1193,0.241094148
11140570,74,410,0.152892562
11140580,21,151,0.122093023
11140590,93,396,0.190184049
11140605,63,450,0.122807018
11140615,59,289,0.16954023
11140625,62,224,0.216783217
11140635,2,17,0.105263158
11140645,9,36,0.2
11140650,7,70,0.090909091
11140670,8,34,0.19047619
11140680,27,136,0.165644172
11170510,26,160,0.139784946
11170520,14,110,0.112903226
11170530,73,346,0.174224344
11170555,63,276,0.185840708
11170560,12,117,0.093023256
11170570,42,216,0.162790698
11170580,8,42,0.16
11170590,12,83,0.126315789
11170625,125,639,0.163612565
11170630,8,51,0.13559322
11170640,1,24,0.04
11170650,60,634,0.086455331
11170660,27,225,0.107142857
11170685,51,455,0.100790514
11170690,9,59,0.132352941
11170700,16,78,0.170212766
11200520,5,16,0.238095238
11200535,6,59,0.092307692
11200540,19,93,0.169642857
11200550,12,61,0.164383562
11200560,88,199,0.306620209
11200580,2,12,0.142857143
11200590,8,35,0.186046512
11200615,10,41,0.196078431
11200620,18,113,0.13740458
11200645,17,57,0.22972973
11200650,21,182,0.103448276
11200660,50,348,0.125628141
11200670,41,317,0.11452514
11200690,114,370,0.23553719
11200720,10,55,0.153846154
11200790,5,19,0.208333333
11215710,235,844,0.217794254
11215730,84,353,0.19221968
11215740,10,69,0.126582278
11215750,23,129,0.151315789
11215760,27,140,0.161676647
11215770,22,127,0.147651007
11215780,49,149,0.247474747
11215810,20,106,0.158730159
11215820,37,189,0.163716814
11215830,38,156,0.195876289
11215840,5,61,0.075757576
11215847,25,213,0.105042017
11215850,107,423,0.201886792
11215860,5,38,0.11627907
11215870,91,255,0.26300578
11230536,102,523,0.1632
11230545,19,199,0.087155963
11230560,86,313,0.215538847
11230570,6,36,0.142857143
11230600,19,108,0.149606299
11230610,23,101,0.185483871
11230650,97,489,0.16552901
11230660,108,391,0.216432866
11230705,7,52,0.118644068
11230710,69,299,0.1875
11230720,39,117,0.25
11230730,17,73,0.188888889
11230740,47,197,0.192622951
11260520,31,258,0.107266436
11260540,6,51,0.105263158
11260550,14,75,0.157303371
11260565,37,169,0.17961165
11260570,16,97,0.14159292
11260575,64,268,0.192771084
11260580,21,100,0.173553719
11260590,93,358,0.206208426
11260600,18,69,0.206896552
11260610,29,181,0.138095238
11260620,19,54,0.260273973
11260630,17,135,0.111842105
11260655,30,159,0.158730159
11260660,7,33,0.175
11260680,43,159,0.212871287
11290525,17,119,0.125
11290555,56,322,0.148148148
11290575,119,485,0.197019868
11290600,104,444,0.189781022
11290610,6,28,0.176470588
11290620,10,76,0.11627907
11290630,16,38,0.296296296
11290640,22,66,0.25
11290650,13,44,0.228070175
11290660,8,47,0.145454545
11290685,3,38,0.073170732
11290705,52,196,0.209677419
11290715,33,176,0.157894737
11290725,54,167,0.244343891
11290760,19,57,0.25
11290770,10,97,0.093457944
11290810,53,238,0.182130584
11305534,4,20,0.166666667
11305535,51,290,0.149560117
11305545,63,245,0.204545455
11305555,21,131,0.138157895
11305575,7,15,0.318181818
11305590,21,147,0.125
11305600,3,19,0.136363636
11305606,2,16,0.111111111
11305610,19,126,0.131034483
11305620,20,106,0.158730159
11305630,155,628,0.197956577
11305645,29,146,0.165714286
11305660,31,136,0.185628743
11320511,11,46,0.192982456
11320512,10,43,0.188679245
11320513,18,119,0.131386861
11320514,42,113,0.270967742
11320515,27,75,0.264705882
11320521,46,270,0.14556962
11320522,8,50,0.137931034
11320660,20,91,0.18018018
11320670,26,106,0.196969697
11320680,7,30,0.189189189
11320681,1,8,0.111111111
11320690,66,393,0.14379085
11320700,23,107,0.176923077
11320710,7,18,0.28
11350560,50,186,0.211864407
11350570,4,14,0.222222222
11350595,63,338,0.157107232
11350600,43,144,0.229946524
11350611,11,45,0.196428571
11350619,72,142,0.336448598
11350624,37,147,0.201086957
11350625,43,67,0.390909091
11350630,67,239,0.218954248
11350640,182,605,0.231257942
11350665,11,67,0.141025641
11350670,19,154,0.10982659
11350695,17,29,0.369565217
11350710,17,38,0.309090909
11350720,3,16,0.157894737
11380510,38,155,0.196891192
11380520,5,24,0.172413793
11380530,52,240,0.178082192
11380551,23,149,0.13372093
11380552,58,217,0.210909091
11380560,31,148,0.173184358
11380570,46,247,0.156996587
11380580,52,190,0.214876033
11380600,29,184,0.136150235
11380625,36,224,0.138461538
11380631,36,85,0.297520661
11380632,12,72,0.142857143
11380640,13,103,0.112068966
11380650,1,1,0.5
11380690,21,32,0.396226415
11410520,4,18,0.181818182
11410555,2,39,0.048780488
11410565,44,181,0.195555556
11410585,250,1071,0.189250568
11410615,48,373,0.114014252
11410620,48,154,0.237623762
11410640,25,111,0.183823529
11410660,8,31,0.205128205
11410685,40,172,0.188679245
11410690,3,21,0.125
11410700,41,156,0.208121827
11410710,4,26,0.133333333
11410720,38,138,0.215909091
11440555,7,36,0.162790698
11440565,112,374,0.230452675
11440585,0,16,0
11440590,48,157,0.234146341
11440600,22,103,0.176
11440610,28,130,0.17721519
11440630,22,133,0.141935484
11440655,45,345,0.115384615
11440660,350,2579,0.119494708
11440680,102,538,0.159375
11440690,27,323,0.077142857
11440700,37,175,0.174528302
11440710,9,138,0.06122449
11440720,40,199,0.167364017
11440730,51,111,0.314814815
11440740,132,283,0.318072289
11470510,64,199,0.243346008
11470520,11,61,0.152777778
11470530,57,168,0.253333333
11470540,18,118,0.132352941
11470550,157,242,0.393483709
11470560,24,172,0.12244898
11470570,7,35,0.166666667
11470580,26,81,0.242990654
